y_true,y_pred,y_prob,auc
0,0,0.40860727,0.7902199074074074
1,1,0.6337808,0.7902199074074074
1,1,0.58699083,0.7902199074074074
1,1,0.5856148,0.7902199074074074
1,1,0.58924925,0.7902199074074074
1,1,0.63784957,0.7902199074074074
1,1,0.6311216,0.7902199074074074
0,1,0.6279024,0.7902199074074074
1,1,0.6351104,0.7902199074074074
0,0,0.4167838,0.7902199074074074
1,1,0.60162145,0.7902199074074074
0,0,0.39452323,0.7902199074074074
0,0,0.41729966,0.7902199074074074
1,1,0.6104918,0.7902199074074074
0,0,0.39950827,0.7902199074074074
1,1,0.6478682,0.7902199074074074
0,0,0.39829674,0.7902199074074074
0,0,0.39693224,0.7902199074074074
0,0,0.4060341,0.7902199074074074
1,1,0.5595071,0.7902199074074074
0,0,0.3932428,0.7902199074074074
0,1,0.62479174,0.7902199074074074
0,0,0.40590447,0.7902199074074074
1,1,0.60997474,0.7902199074074074
1,1,0.56435883,0.7902199074074074
1,1,0.6504674,0.7902199074074074
0,0,0.39919972,0.7902199074074074
1,1,0.5819383,0.7902199074074074
1,1,0.6529799,0.7902199074074074
1,1,0.59922487,0.7902199074074074
1,1,0.60649496,0.7902199074074074
0,0,0.40562823,0.7902199074074074
0,0,0.3955202,0.7902199074074074
0,1,0.6267381,0.7902199074074074
1,1,0.5640487,0.7902199074074074
0,0,0.4027011,0.7902199074074074
1,1,0.6534544,0.7902199074074074
1,1,0.6221373,0.7902199074074074
1,1,0.5674544,0.7902199074074074
0,0,0.3892578,0.7902199074074074
1,1,0.65161484,0.7902199074074074
1,1,0.6355394,0.7902199074074074
1,1,0.59769255,0.7902199074074074
1,1,0.6227003,0.7902199074074074
1,1,0.5889625,0.7902199074074074
0,0,0.3947383,0.7902199074074074
1,1,0.5585955,0.7902199074074074
0,1,0.63716525,0.7902199074074074
1,1,0.5759792,0.7902199074074074
0,0,0.39657557,0.7902199074074074
0,0,0.40942252,0.7902199074074074
1,1,0.6447409,0.7902199074074074
1,1,0.5691114,0.7902199074074074
0,0,0.4197748,0.7902199074074074
1,1,0.63392925,0.7902199074074074
