wavenumber,benign_mean,benign_std,malignant_mean,malignant_std
1799.2033185987298,-4.15496109191544e-06,5.542666358129913e-06,-3.2213502745242766e-06,1.046058263453119e-05
1797.2749120407464,-4.15496109191544e-06,5.542666358129913e-06,-3.2213502745242766e-06,1.046058263453119e-05
1795.346505482763,-4.15496109191544e-06,5.542666358129913e-06,-3.2213502745242766e-06,1.046058263453119e-05
1793.4180989247795,-4.15496109191544e-06,5.542666358129913e-06,-3.2213502745242766e-06,1.046058263453119e-05
1791.4896923667961,-4.15496109191544e-06,5.542666358129913e-06,-3.2213502745242766e-06,1.046058263453119e-05
1789.5612858088127,-4.15496109191544e-06,5.542666358129913e-06,-3.2213502745242766e-06,1.046058263453119e-05
1787.6328792508293,-4.154961091912162e-06,5.542666358129873e-06,-3.2213502745217503e-06,1.0460582634530906e-05
1785.704472692846,-1.7203524245815688e-05,1.2228615077891648e-05,-1.3773823184905046e-05,3.1162286515885e-05
1783.7760661348625,-3.320986899158068e-05,2.198895172956257e-05,-2.6202404843693753e-05,5.476172169679335e-05
1781.847659576879,-3.56104210091577e-05,2.387960575684936e-05,-2.780341309939788e-05,5.6221564353521166e-05
1779.9192530188957,-1.781724146895282e-05,1.3981772788936564e-05,-1.3610032331915918e-05,2.8138828555108824e-05
1777.9908464609123,8.713573484278682e-06,7.261997934525646e-06,7.596486594103445e-06,1.310817588477374e-05
1776.0624399029289,2.6655264408872233e-05,1.6322174411464143e-05,2.2252482091763492e-05,3.7855744181474875e-05
1774.1340333449455,3.2027084670373885e-05,1.9163665252165854e-05,2.7151091846021726e-05,4.283520092609272e-05
1772.205626786962,3.177488265496415e-05,1.848860157632729e-05,2.7940989202616412e-05,3.8029276709097616e-05
1770.2772202289786,3.0781759338631885e-05,1.8266101740948058e-05,2.8304059613698745e-05,3.2012155625455154e-05
1768.3488136709952,3.0245844945583924e-05,2.0080723927740312e-05,2.9286873488229908e-05,2.7175228771575038e-05
1766.4204071130118,2.8303135869927434e-05,2.3476966839024355e-05,2.971420155453235e-05,2.3562732103125985e-05
1764.4920005550284,1.808952653985308e-05,2.790426252836524e-05,2.4392803333714206e-05,2.5397901670663844e-05
1762.563593997045,3.1981146253673054e-07,3.874698809381353e-05,1.4864547088165747e-05,5.004430220028136e-05
1760.6351874390616,-8.728931852440302e-06,5.17440379549714e-05,1.4053692557442451e-05,7.30223268983649e-05
1758.7067808810782,4.101986040464046e-06,5.348178192117755e-05,2.8881308312100988e-05,6.790409066484937e-05
1756.7783743230948,2.411253433927329e-05,4.610173840758866e-05,4.553041752488482e-05,5.171003269886258e-05
1754.8499677651114,3.678480604359202e-05,3.546173952239284e-05,5.2457123131764444e-05,4.1730945316204054e-05
1752.921561207128,3.790174415765534e-05,2.5104546022662765e-05,4.695509048703597e-05,3.570780989690703e-05
1750.9931546491446,3.0865323194296985e-05,2.2979690980643774e-05,3.290638790387181e-05,3.0789048925518055e-05
1749.0647480911612,2.049166205962741e-05,3.378313033581179e-05,1.5004650426943485e-05,3.3612728545912505e-05
1747.1363415331778,3.1247550884660666e-06,4.735225108018232e-05,-8.786448522842761e-06,3.8823318429309245e-05
1745.2079349751943,-2.0075006238497793e-05,5.857250177012467e-05,-3.557130598903337e-05,4.341983069280339e-05
1743.279528417211,-3.5194770943771444e-05,6.635576423409976e-05,-5.325280787314026e-05,5.251696371153198e-05
1741.3511218592275,-4.128598407206914e-05,6.726443665447333e-05,-6.0427833593392605e-05,5.810557614850944e-05
1739.4227153012441,-3.9357092629987146e-05,5.9665107245659936e-05,-5.73351780069243e-05,5.643382335679397e-05
1737.4943087432607,-2.7754769045363628e-05,4.7154873684410866e-05,-4.413944085281918e-05,5.069357602795125e-05
1735.5659021852773,-1.1759044644273593e-05,3.6775320874517406e-05,-2.7849332531906823e-05,4.7924881036186705e-05
1733.637495627294,-2.7226380513398e-06,2.9050516054185256e-05,-1.7613802388352835e-05,4.304970844930625e-05
1731.7090890693105,-6.075279974312881e-06,2.123383025719451e-05,-1.7254550441220993e-05,2.9026343131768553e-05
1729.780682511327,-2.5410985168619435e-05,2.0595053923297524e-05,-2.9360081832123892e-05,3.400146110953063e-05
1727.8522759533437,-4.648133910743214e-05,3.380449837720422e-05,-4.249866840239969e-05,6.857394544957766e-05
1725.9238693953603,-4.570074783999596e-05,3.779418970053899e-05,-3.941406308195194e-05,7.463479410161541e-05
1723.9954628373769,-3.0509701395286366e-05,3.249290910845585e-05,-2.5506657398407314e-05,5.835008971601263e-05
1722.0670562793935,-6.297167110688061e-06,2.3690172333057857e-05,-4.408946315286646e-06,3.072959172596967e-05
1720.13864972141,2.386606083428746e-05,2.0681111155691077e-05,2.1092834010458958e-05,2.02563525150099e-05
1718.2102431634266,4.502506624837933e-05,2.6104259567473444e-05,3.944702244813824e-05,4.002520331878496e-05
1716.2818366054432,5.379413089140815e-05,2.9250319175599456e-05,4.8094400036022995e-05,4.60076525966386e-05
1714.3534300474598,5.1736395637681024e-05,2.8057730667564612e-05,4.778075406964187e-05,4.022758197703454e-05
1712.4250234894764,3.853732464934243e-05,2.499457364792561e-05,3.8941807253761875e-05,2.743046865838455e-05
1710.496616931493,1.946747712985471e-05,2.9874597377855406e-05,2.6870518948749355e-05,3.911609388373447e-05
1708.5682103735096,9.080317441714272e-06,4.02322478497799e-05,2.1545435911645306e-05,6.123722746574096e-05
1706.6398038155262,2.1488517825181255e-05,4.5761007050864874e-05,3.3157590956294365e-05,6.066803658965457e-05
1704.7113972575428,5.4979339657223195e-05,4.652991055497962e-05,6.0107003015911155e-05,5.015392074002122e-05
1702.7829906995594,9.363661153805477e-05,5.162551121215022e-05,8.954032005206798e-05,7.767783370194181e-05
1700.854584141576,0.00011037079967918778,5.6367972534506985e-05,0.00010187659596278169,9.937401947192121e-05
1698.9261775835926,0.000100415573721661,5.0941992803176386e-05,9.278022541726447e-05,8.962926340119134e-05
1696.9977710256092,7.163312350840477e-05,3.844977958207755e-05,6.85357711149039e-05,5.741399581083409e-05
1695.0693644676257,5.3299502106487314e-05,3.89791597037084e-05,5.5100548226158234e-05,4.5268892918458534e-05
1693.1409579096423,5.2258914479906554e-05,4.694950639718635e-05,5.546134461243474e-05,5.501822722260935e-05
1691.212551351659,5.170922900594572e-05,4.693979715005306e-05,5.4244787135867755e-05,5.496657669022735e-05
1689.2841447936755,4.585334345980264e-05,4.294304673205494e-05,4.817798372466751e-05,5.0625471191045156e-05
1687.3557382356921,4.411271959766515e-05,4.1101622262307096e-05,4.5930022211206347e-05,4.746575527176775e-05
1685.4273316777087,5.4880624562629014e-05,4.009308865786024e-05,5.318058219433426e-05,4.4955053803839075e-05
1683.4989251197253,6.190030613653049e-05,3.609029027176504e-05,5.623402984372841e-05,4.609798111668154e-05
1681.570518561742,5.442119620318067e-05,2.969642336138052e-05,4.768020059096635e-05,3.905947728499739e-05
1679.6421120037585,4.7331383949599603e-05,2.5455077070463987e-05,3.994774300665717e-05,3.151194317130588e-05
1677.713705445775,3.3195633523664175e-05,1.7886867820381092e-05,2.6345734004500012e-05,2.1172082577234404e-05
1675.7852988877917,9.193069969354153e-06,9.842089818299974e-06,4.864076757591011e-06,9.23924435059661e-06
1673.8568923298083,-5.928111794915005e-06,1.0541857784502794e-05,-7.208882141272795e-06,1.663162248712104e-05
1671.9284857718249,4.2140900796771297e-07,1.0347349534654627e-05,-4.6686124953225503e-07,1.3895369420565688e-05
1670.0000792138414,-1.1643544522809148e-06,1.5231417153589809e-05,-3.0312087373197754e-06,2.0399284954440045e-05
1668.071672655858,-2.8575431703591667e-05,3.163335516484744e-05,-2.8555403544547276e-05,3.479441242635711e-05
1666.1432660978746,-7.203567482316685e-05,4.9867497692908304e-05,-6.621034621110379e-05,5.5371950757342635e-05
1664.2148595398912,-0.00010285776656699763,5.935358659264207e-05,-8.959600881598202e-05,7.818613083393947e-05
1662.2864529819078,-0.00011375240546056475,6.302533078179813e-05,-9.6056912130379e-05,8.900606995073231e-05
1660.3580464239244,-0.00012150041877091234,6.752550483190908e-05,-0.00010196263101675387,9.517115197211258e-05
1658.429639865941,-0.0001110919684385954,6.519787418411303e-05,-9.323349329725497e-05,8.287506279367835e-05
1656.5012333079576,-7.592019043333786e-05,5.886610745450175e-05,-6.519455318063503e-05,5.374956932181515e-05
1654.5728267499742,-4.9648349623847644e-05,6.782126933526514e-05,-4.5518346742470145e-05,7.254971653064841e-05
1652.6444201919908,-3.492493086227171e-05,7.743688598957195e-05,-3.455060583714494e-05,9.421039212914005e-05
1650.7160136340074,-2.7449758833072012e-05,7.903312992818772e-05,-2.863037738955442e-05,9.709394973576441e-05
1648.787607076024,-3.794783297874904e-05,7.845410693306092e-05,-3.72833209575858e-05,8.394701779899606e-05
1646.8592005180406,-6.48889957602366e-05,8.290886572069702e-05,-5.8555494799445026e-05,7.079155209860932e-05
1644.9307939600571,-8.578430516090348e-05,8.603501778640593e-05,-7.555366688405996e-05,6.802497139428791e-05
